library,precision,k,policy,iteration,time,GFLOPS
mkl,f,2000,false,1,0.020515,779.902117
mkl,f,2000,false,2,0.018473,866.110566
mkl,f,2000,false,3,0.019719,811.410377
mkl,f,2000,false,4,0.018941,844.725959
mkl,f,2000,false,5,0.018988,842.650724
mkl,f,2000,close,1,0.016009,999.460853
mkl,f,2000,close,2,0.016387,976.399270
mkl,f,2000,close,3,0.015886,1007.178603
mkl,f,2000,close,4,0.016305,981.311535
mkl,f,2000,close,5,0.016413,974.818429
mkl,f,2000,spread,1,0.016211,986.968621
mkl,f,2000,spread,2,0.016377,976.982715
mkl,f,2000,spread,3,0.017040,938.950054
mkl,f,2000,spread,4,0.015556,1028.524454
mkl,f,2000,spread,5,0.015805,1012.359005
mkl,f,3000,false,1,0.042551,1269.071590
mkl,f,3000,false,2,0.042304,1276.485840
mkl,f,3000,false,3,0.045341,1190.968200
mkl,f,3000,false,4,0.042646,1266.226636
mkl,f,3000,false,5,0.042365,1274.630132
mkl,f,3000,close,1,0.040675,1327.587632
mkl,f,3000,close,2,0.040670,1327.768214
mkl,f,3000,close,3,0.039984,1350.537615
mkl,f,3000,close,4,0.040245,1341.766918
mkl,f,3000,close,5,0.040655,1328.250790
mkl,f,3000,spread,1,0.040228,1342.337168
mkl,f,3000,spread,2,0.040270,1340.933946
mkl,f,3000,spread,3,0.040357,1338.068145
mkl,f,3000,spread,4,0.040699,1326.825989
mkl,f,3000,spread,5,0.041066,1314.969956
mkl,f,4000,false,1,0.089755,1426.101758
mkl,f,4000,false,2,0.089281,1433.668215
mkl,f,4000,false,3,0.088876,1440.206221
mkl,f,4000,false,4,0.090920,1407.837223
mkl,f,4000,false,5,0.088845,1440.714821
mkl,f,4000,close,1,0.086335,1482.588412
mkl,f,4000,close,2,0.086212,1484.717168
mkl,f,4000,close,3,0.086547,1478.963871
mkl,f,4000,close,4,0.086846,1473.864977
mkl,f,4000,close,5,0.086229,1484.417140
mkl,f,4000,spread,1,0.086325,1482.768779
mkl,f,4000,spread,2,0.086934,1472.373912
mkl,f,4000,spread,3,0.086248,1484.094002
mkl,f,4000,spread,4,0.085994,1488.475542
mkl,f,4000,spread,5,0.086684,1476.630017
mkl,f,5000,false,1,0.169763,1472.638954
mkl,f,5000,false,2,0.168996,1479.323326
mkl,f,5000,false,3,0.172610,1448.353362
mkl,f,5000,false,4,0.169153,1477.953582
mkl,f,5000,false,5,0.169596,1474.095612
mkl,f,5000,close,1,0.167519,1492.365215
mkl,f,5000,close,2,0.167216,1495.076426
mkl,f,5000,close,3,0.167853,1489.395161
mkl,f,5000,close,4,0.167942,1488.609207
mkl,f,5000,close,5,0.167317,1494.172473
mkl,f,5000,spread,1,0.167992,1488.163880
mkl,f,5000,spread,2,0.167819,1489.704340
mkl,f,5000,spread,3,0.167366,1493.736539
mkl,f,5000,spread,4,0.167348,1493.892037
mkl,f,5000,spread,5,0.167035,1496.695939
mkl,f,6000,false,1,0.279731,1544.341961
mkl,f,6000,false,2,0.279865,1543.602096
mkl,f,6000,false,3,0.280630,1539.394747
mkl,f,6000,false,4,0.280051,1542.577402
mkl,f,6000,false,5,0.279423,1546.042338
mkl,f,6000,close,1,0.277918,1554.416422
mkl,f,6000,close,2,0.277397,1557.336670
mkl,f,6000,close,3,0.277663,1555.845513
mkl,f,6000,close,4,0.278245,1552.585873
mkl,f,6000,close,5,0.278024,1553.825296
mkl,f,6000,spread,1,0.277717,1555.540201
mkl,f,6000,spread,2,0.278057,1553.636294
mkl,f,6000,spread,3,0.277374,1557.465092
mkl,f,6000,spread,4,0.277723,1555.504119
mkl,f,6000,spread,5,0.277753,1555.336950
mkl,f,7000,false,1,0.434269,1579.667860
mkl,f,7000,false,2,0.432523,1586.043315
mkl,f,7000,false,3,0.432660,1585.539686
mkl,f,7000,false,4,0.433456,1582.629144
mkl,f,7000,false,5,0.434434,1579.064783
mkl,f,7000,close,1,0.431793,1588.725993
mkl,f,7000,close,2,0.432517,1586.066380
mkl,f,7000,close,3,0.431930,1588.220615
mkl,f,7000,close,4,0.432168,1587.347414
mkl,f,7000,close,5,0.431827,1588.599576
mkl,f,7000,spread,1,0.431726,1588.969792
mkl,f,7000,spread,2,0.431207,1590.882586
mkl,f,7000,spread,3,0.431289,1590.582210
